Original Frame,Matched Frame
frame_000047.png,frame_000039.png
frame_000107.png,frame_000089.png
frame_000158.png,frame_000132.png
frame_000165.png,frame_000138.png
frame_000168.png,frame_000140.png
frame_000171.png,frame_000143.png
frame_000194.png,frame_000162.png
frame_000195.png,
frame_000196.png,frame_000164.png
frame_000212.png,
frame_000215.png,frame_000179.png
frame_000221.png,frame_000184.png
frame_000227.png,frame_000189.png
frame_000244.png,
frame_000258.png,frame_000215.png
frame_000270.png,frame_000225.png
frame_000271.png,frame_000226.png
frame_000283.png,frame_000236.png
frame_000479.png,frame_000399.png
frame_000481.png,frame_000401.png
frame_000482.png,
frame_000483.png,
frame_000492.png,frame_000410.png
frame_000493.png,
frame_000494.png,
frame_000495.png,
frame_000496.png,
frame_000497.png,frame_000414.png
frame_000498.png,frame_000415.png
frame_000499.png,
frame_000500.png,
frame_000501.png,
frame_000505.png,frame_000421.png
frame_000534.png,frame_000445.png
frame_000544.png,
frame_000545.png,frame_000454.png
frame_000546.png,
frame_000606.png,frame_000505.png
frame_000618.png,frame_000515.png
frame_000627.png,
frame_000628.png,
frame_000629.png,frame_000524.png
frame_000630.png,frame_000525.png
frame_000631.png,frame_000526.png
frame_000702.png,frame_000585.png
frame_000705.png,frame_000588.png
frame_000708.png,frame_000590.png
frame_000715.png,
frame_000716.png,
frame_000723.png,frame_000602.png
frame_000724.png,frame_000603.png
frame_000728.png,
frame_000729.png,
frame_000730.png,
frame_000760.png,
frame_000761.png,frame_000634.png
frame_000762.png,frame_000635.png
frame_000774.png,frame_000645.png
frame_000775.png,frame_000646.png
frame_000776.png,
frame_000777.png,
frame_000788.png,frame_000657.png
frame_000806.png,frame_000672.png
frame_000868.png,frame_000724.png
frame_000885.png,frame_000737.png
frame_000899.png,frame_000749.png
frame_000920.png,frame_000766.png
frame_000985.png,frame_000821.png
frame_000986.png,
frame_001004.png,frame_000837.png
frame_001016.png,frame_000847.png
frame_001059.png,
frame_001060.png,
frame_001063.png,frame_000886.png
frame_001066.png,
frame_001067.png,frame_000889.png
frame_001086.png,frame_000889.png
frame_001090.png,frame_000908.png
frame_001091.png,frame_000909.png
frame_001122.png,
frame_001215.png,
frame_001219.png,frame_001016.png
frame_001220.png,
frame_001221.png,frame_001018.png
frame_001258.png,
frame_001259.png,frame_001049.png
frame_001364.png,
frame_001365.png,frame_001137.png
frame_001384.png,
frame_001385.png,frame_001154.png
frame_001386.png,frame_001155.png
